representation,model,metric,estimate,ci_low,ci_high,bootstrap_replicates
sparse_phase_00,model0_snapshot,auroc,0.6719478949510898,0.6311672384048178,0.7118319522581407,2000
sparse_phase_00,model0_snapshot,auprc,0.1626366775952456,0.1308282774490407,0.2109872828128627,2000
sparse_phase_00,model0_snapshot,brier,0.0734852477908134,0.0664830265566706,0.0808674985542893,2000
sparse_phase_00,model0_snapshot,log_loss,0.2771238386631012,0.2582316875457763,0.2977347142994404,2000
sparse_phase_00,model0_snapshot,calibration_intercept,-0.6358493534806409,-0.788684473834035,-0.4928794328871988,2000
sparse_phase_00,model0_snapshot,calibration_slope,0.9248608685407658,0.6776949043078221,1.20332081567222,2000
sparse_phase_00,model1_elastic_net,auroc,0.7573266557292117,0.7188236862884951,0.7923585180583433,2000
sparse_phase_00,model1_elastic_net,auprc,0.252200650690534,0.1989506055837566,0.3160290171813439,2000
sparse_phase_00,model1_elastic_net,brier,0.0661030486226081,0.0586653367616236,0.0742398837581276,2000
sparse_phase_00,model1_elastic_net,log_loss,0.2426310330629348,0.2207370489835739,0.2661690033972263,2000
sparse_phase_00,model1_elastic_net,calibration_intercept,-0.2339371818332573,-0.3971043834443544,-0.0885426518874295,2000
sparse_phase_00,model1_elastic_net,calibration_slope,1.002480076736001,0.8425763941760976,1.177935309429957,2000
sparse_phase_00,model2_xgboost,auroc,0.75053720996213,0.7139212890210893,0.7850859672995171,2000
sparse_phase_00,model2_xgboost,auprc,0.2393591174797487,0.1898628803738822,0.3043077965538494,2000
sparse_phase_00,model2_xgboost,brier,0.0661395266652107,0.0585889646783471,0.0740689534693956,2000
sparse_phase_00,model2_xgboost,log_loss,0.2433091551065445,0.2206952456384897,0.2671663701534271,2000
sparse_phase_00,model2_xgboost,calibration_intercept,-0.1054780169660485,-0.2627823175698939,0.0407075257298541,2000
sparse_phase_00,model2_xgboost,calibration_slope,1.0274808993540718,0.867324354938493,1.1913512558628678,2000
sparse_phase_00,model3_grud,auroc,0.7182133297149271,0.6789616968663338,0.7558814035097816,2000
sparse_phase_00,model3_grud,auprc,0.2337852494916554,0.1839171949193055,0.2985928148615645,2000
sparse_phase_00,model3_grud,brier,0.1557646903400553,0.1469609631967427,0.1648497507609502,2000
sparse_phase_00,model3_grud,log_loss,0.4803699334175592,0.4575804874574328,0.5040878144229523,2000
sparse_phase_00,model3_grud,calibration_intercept,-2.26396153650168,-2.457307273122096,-2.0867735572836508,2000
sparse_phase_00,model3_grud,calibration_slope,0.5392399770056464,0.4458023874994734,0.63870973728001,2000
sparse_phase_15,model0_snapshot,auroc,0.6713594927652434,0.6301001494418628,0.711753481902695,2000
sparse_phase_15,model0_snapshot,auprc,0.1695422116301691,0.1336040236024868,0.2186834827595957,2000
sparse_phase_15,model0_snapshot,brier,0.0712817162275314,0.0635087041184306,0.079413565993309,2000
sparse_phase_15,model0_snapshot,log_loss,0.2667383849620819,0.2447827711701393,0.2898468919098377,2000
sparse_phase_15,model0_snapshot,calibration_intercept,-0.4220423262304167,-0.5822490103118695,-0.2726119695232605,2000
sparse_phase_15,model0_snapshot,calibration_slope,0.8374411987126674,0.6231999022197919,1.0612112904770636,2000
sparse_phase_15,model1_elastic_net,auroc,0.7600379932648303,0.7210844670725755,0.7960721547752873,2000
sparse_phase_15,model1_elastic_net,auprc,0.2486501201406772,0.1967156223832155,0.3110593273175778,2000
sparse_phase_15,model1_elastic_net,brier,0.0661728978157043,0.0585324920713901,0.0744925262406468,2000
sparse_phase_15,model1_elastic_net,log_loss,0.2417119145393371,0.2189883098006248,0.2657915368676185,2000
sparse_phase_15,model1_elastic_net,calibration_intercept,-0.1605295795513501,-0.3310822773869776,-0.0080473854523664,2000
sparse_phase_15,model1_elastic_net,calibration_slope,1.0077243554232076,0.8493681919681648,1.1854033734248546,2000
sparse_phase_15,model2_xgboost,auroc,0.7487979079033392,0.7095756672134442,0.7853696407435333,2000
sparse_phase_15,model2_xgboost,auprc,0.2338248860215808,0.1855370522852717,0.2903554271269574,2000
sparse_phase_15,model2_xgboost,brier,0.0662276819348335,0.0582439515739679,0.0747291898354887,2000
sparse_phase_15,model2_xgboost,log_loss,0.2432499825954437,0.2196636401116848,0.2687391363084316,2000
sparse_phase_15,model2_xgboost,calibration_intercept,-0.0551135809561989,-0.2197777064335616,0.0913650609964596,2000
sparse_phase_15,model2_xgboost,calibration_slope,1.0531137447796404,0.8820301088946589,1.227071634162064,2000
sparse_phase_15,model3_grud,auroc,0.7113967459015383,0.6711533060680165,0.7498316706123048,2000
sparse_phase_15,model3_grud,auprc,0.2157449218358099,0.1669534758041646,0.2728419181122413,2000
sparse_phase_15,model3_grud,brier,0.1413373670203511,0.1328919427234196,0.1500670802536033,2000
sparse_phase_15,model3_grud,log_loss,0.444799764388762,0.4227298533160993,0.4671525074434801,2000
sparse_phase_15,model3_grud,calibration_intercept,-2.0756672717137223,-2.2691437823786798,-1.887555249967357,2000
sparse_phase_15,model3_grud,calibration_slope,0.5232650882953324,0.4259736732453077,0.6234996191917219,2000
sparse_phase_30,model0_snapshot,auroc,0.7109551358752636,0.6703509082767893,0.7501715720779941,2000
sparse_phase_30,model0_snapshot,auprc,0.195188193712682,0.1533734231654626,0.2551891675896269,2000
sparse_phase_30,model0_snapshot,brier,0.0681356042623519,0.0604473256506025,0.0758816441521048,2000
sparse_phase_30,model0_snapshot,log_loss,0.252888023853302,0.2311625134199857,0.2752787113189697,2000
sparse_phase_30,model0_snapshot,calibration_intercept,-0.2200884177603153,-0.377902885381403,-0.0769895902182469,2000
sparse_phase_30,model0_snapshot,calibration_slope,1.0721792429707833,0.8544656616896579,1.301678315061512,2000
sparse_phase_30,model1_elastic_net,auroc,0.7605437477641951,0.724353745182212,0.796531514270706,2000
sparse_phase_30,model1_elastic_net,auprc,0.2592149528710388,0.2055929182885481,0.3307934734265886,2000
sparse_phase_30,model1_elastic_net,brier,0.0652657225728035,0.057556495629251,0.0728998288512229,2000
sparse_phase_30,model1_elastic_net,log_loss,0.2401052713394165,0.2174541898071766,0.2629295401275158,2000
sparse_phase_30,model1_elastic_net,calibration_intercept,-0.1041410914665387,-0.2699376669352155,0.0489474648952964,2000
sparse_phase_30,model1_elastic_net,calibration_slope,1.012488595416069,0.8361528563449439,1.2025094086113826,2000
sparse_phase_30,model2_xgboost,auroc,0.7501992179308472,0.7139484142197685,0.7865055936523851,2000
sparse_phase_30,model2_xgboost,auprc,0.2380650148711461,0.1912556369697579,0.3029895101996006,2000
sparse_phase_30,model2_xgboost,brier,0.0660773664712905,0.0581595346331596,0.0739588297903537,2000
sparse_phase_30,model2_xgboost,log_loss,0.2428051531314849,0.2196394350379705,0.2667483992874622,2000
sparse_phase_30,model2_xgboost,calibration_intercept,-0.0308256547355157,-0.1927847847642037,0.1196890939911427,2000
sparse_phase_30,model2_xgboost,calibration_slope,1.0373888346631333,0.8857398043439741,1.211758457445847,2000
sparse_phase_30,model3_grud,auroc,0.7270677340964881,0.6871753991431918,0.7669888342894784,2000
sparse_phase_30,model3_grud,auprc,0.2330541984972434,0.1839004238193111,0.2921642089109107,2000
sparse_phase_30,model3_grud,brier,0.1280116297780454,0.1196657347222246,0.1361673460108124,2000
sparse_phase_30,model3_grud,log_loss,0.4137237889186967,0.3916176688169279,0.4354624631942315,2000
sparse_phase_30,model3_grud,calibration_intercept,-1.9570533079633172,-2.160774421024666,-1.770777837039295,2000
sparse_phase_30,model3_grud,calibration_slope,0.5739195730243852,0.4794695619602274,0.6757759688876848,2000
sparse_phase_45,model0_snapshot,auroc,0.7126623656975094,0.6726807969995225,0.7495845129495916,2000
sparse_phase_45,model0_snapshot,auprc,0.180783752661531,0.1458259099460615,0.2329643918447723,2000
sparse_phase_45,model0_snapshot,brier,0.0685297846794128,0.0609077955596149,0.076561670936644,2000
sparse_phase_45,model0_snapshot,log_loss,0.2533471584320068,0.2318119619041681,0.2768428266048431,2000
sparse_phase_45,model0_snapshot,calibration_intercept,-0.1481643886366728,-0.3002415914303508,-0.0037119812806296,2000
sparse_phase_45,model0_snapshot,calibration_slope,1.0643191805414398,0.8589651317706414,1.2757677922474062,2000
sparse_phase_45,model1_elastic_net,auroc,0.7602871698718344,0.7242326457338506,0.7945335805726116,2000
sparse_phase_45,model1_elastic_net,auprc,0.2502333942728658,0.1987796044746079,0.3123626196174711,2000
sparse_phase_45,model1_elastic_net,brier,0.0658534914255142,0.0582950174808502,0.0740782832726836,2000
sparse_phase_45,model1_elastic_net,log_loss,0.2407924830913543,0.2189547400921583,0.265320336073637,2000
sparse_phase_45,model1_elastic_net,calibration_intercept,-0.0727405655912497,-0.2287921873148441,0.0744676038024129,2000
sparse_phase_45,model1_elastic_net,calibration_slope,1.022515078850707,0.868628079642599,1.191485989905748,2000
sparse_phase_45,model2_xgboost,auroc,0.7460347613702247,0.7081996040390799,0.7816047833368371,2000
sparse_phase_45,model2_xgboost,auprc,0.2308079302728675,0.1832452292695305,0.2911135659376483,2000
sparse_phase_45,model2_xgboost,brier,0.0664094090461731,0.0585798947140574,0.0746807426214218,2000
sparse_phase_45,model2_xgboost,log_loss,0.2439700067043304,0.2207278091460466,0.2693286903202533,2000
sparse_phase_45,model2_xgboost,calibration_intercept,-0.0077852465769461,-0.1587559774859555,0.1388296787903541,2000
sparse_phase_45,model2_xgboost,calibration_slope,1.0501879954091875,0.8886302128326421,1.2094989746151643,2000
sparse_phase_45,model3_grud,auroc,0.7068720934535632,0.6672201112204827,0.7445752334498861,2000
sparse_phase_45,model3_grud,auprc,0.2106054770762424,0.1658497013595622,0.267244989920462,2000
sparse_phase_45,model3_grud,brier,0.1291371228912391,0.1209882529382399,0.1375452993368858,2000
sparse_phase_45,model3_grud,log_loss,0.415367312711794,0.3936053336661137,0.43718250443301,2000
