dataset,representation,model,curve,x,y
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.55,0.26912
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.56,0.26738
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.57,0.25859
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.58,0.25522
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.59,0.24581
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.6,0.24598
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.61,0.23641
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.62,0.22695
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.63,0.22366
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.64,0.2178
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.65,0.21311
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.66,0.21033
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.67,0.2044
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.68,0.20012
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.69,0.19705
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.7,0.19368
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.71,0.19559
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.72,0.1949
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.73,0.19366
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.74,0.19139
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.75,0.19207
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.76,0.18999
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.77,0.19183
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.78,0.19309
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.79,0.19104
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.8,0.18928
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.81,0.18737
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.82,0.18237
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.83,0.17973
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.84,0.17711
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.85,0.17125
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.86,0.17024
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.87,0.16653
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.88,0.16118
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.89,0.15119
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.9,0.14591
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.91,0.14173
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.92,0.1414
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.93,0.13964
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.94,0.12977
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.95,0.12513
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.96,0.10923
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.97,0.10532
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.98,0.10462
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,0.99,0.10357
MIMIC-IV internal OOF,patient_mean_5_repeats,model2_xgboost,PR,1.0,0.09959
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.0,0.0
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.01,0.05897
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.02,0.15929
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.03,0.20333
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.04,0.25214
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.05,0.26397
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.06,0.2728
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.07,0.29768
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.08,0.3319
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.09,0.36456
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.1,0.3902
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.11,0.41659
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.12,0.43159
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.13,0.43926
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.14,0.46738
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.15,0.49048
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.16,0.50269
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.17,0.51149
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.18,0.53624
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.19,0.5405
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.2,0.55136
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.21,0.55729
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.22,0.58516
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.23,0.60487
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.24,0.6112
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.25,0.62089
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.26,0.62412
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.27,0.635
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.28,0.64652
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.29,0.65425
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.3,0.6744
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.31,0.69606
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.32,0.71323
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.33,0.7191
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.34,0.72437
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.35,0.74167
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.36,0.76257
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.37,0.76434
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.38,0.7661
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.39,0.7681
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.4,0.77568
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.41,0.7778
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.42,0.78124
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.43,0.78749
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.44,0.78983
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.45,0.79273
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.46,0.79765
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.47,0.80155
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.48,0.81405
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.49,0.81952
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.5,0.82555
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.51,0.8307
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.52,0.83573
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.53,0.84088
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.54,0.84495
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.55,0.85035
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.56,0.85221
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.57,0.85341
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.58,0.85461
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.59,0.85581
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.6,0.85701
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.61,0.8606
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.62,0.86507
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.63,0.86943
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.64,0.87081
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.65,0.87218
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.66,0.87356
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.67,0.87493
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.68,0.88355
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.69,0.88647
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.7,0.8908
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.71,0.89536
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.72,0.90207
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.73,0.90703
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.74,0.90986
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.75,0.91508
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.76,0.91907
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.77,0.9223
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.78,0.92543
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.79,0.92855
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.8,0.93095
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.81,0.93335
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.82,0.93561
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.83,0.93774
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.84,0.93986
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.85,0.94244
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.86,0.94519
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.87,0.94794
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.88,0.95069
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.89,0.95834
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.9,0.95983
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.91,0.96131
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.92,0.9628
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.93,0.96428
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.94,0.97012
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.95,0.98816
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.96,0.99084
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.97,0.99351
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.98,0.99612
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,0.99,0.99872
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,ROC,1.0,1.0
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.0,1.0
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.01,0.24762
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.02,0.384
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.03,0.41846
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.04,0.46523
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.05,0.4303
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.06,0.38318
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.07,0.38219
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.08,0.40868
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.09,0.41856
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.1,0.42649
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.11,0.42495
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.12,0.44638
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.13,0.45019
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.14,0.45191
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.15,0.4468
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.16,0.4565
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.17,0.47156
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.18,0.46566
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.19,0.46314
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.2,0.41287
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.21,0.41859
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.22,0.40727
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.23,0.40442
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.24,0.40595
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.25,0.41176
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.26,0.38189
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.27,0.32921
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.28,0.31965
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.29,0.31516
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.3,0.31114
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.31,0.3009
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.32,0.30367
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.33,0.30555
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.34,0.31003
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.35,0.31477
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.36,0.30325
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.37,0.29838
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.38,0.30039
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.39,0.29499
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.4,0.28792
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.41,0.29201
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.42,0.28903
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.43,0.28266
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.44,0.26469
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.45,0.26217
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.46,0.263
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.47,0.2625
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.48,0.25838
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.49,0.2589
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.5,0.24633
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.51,0.24473
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.52,0.2417
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.53,0.24251
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.54,0.23422
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.55,0.22805
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.56,0.2177
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.57,0.21911
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.58,0.22129
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.59,0.22052
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.6,0.22096
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.61,0.2153
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.62,0.21145
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.63,0.20203
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.64,0.1998
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.65,0.19649
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.66,0.1914
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.67,0.19288
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.68,0.1943
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.69,0.19553
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.7,0.19304
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.71,0.19353
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.72,0.18833
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.73,0.18349
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.74,0.18446
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.75,0.18529
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.76,0.18619
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.77,0.17409
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.78,0.16582
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.79,0.16084
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.8,0.15504
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.81,0.15349
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.82,0.15144
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.83,0.14856
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.84,0.14536
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.85,0.1419
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.86,0.13124
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.87,0.12792
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.88,0.12293
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.89,0.1189
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.9,0.11807
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.91,0.1161
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.92,0.11418
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.93,0.11101
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.94,0.10675
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.95,0.1028
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.96,0.10224
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.97,0.09935
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.98,0.09941
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,0.99,0.09957
MIMIC-IV internal OOF,patient_mean_5_repeats,model3_grud,PR,1.0,0.097
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.0,0.01081
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.01,0.09681
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.02,0.11339
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.03,0.17692
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.04,0.23031
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.05,0.24619
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.06,0.25468
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.07,0.28528
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.08,0.31611
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.09,0.35227
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.1,0.36683
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.11,0.38775
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.12,0.40536
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.13,0.43829
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.14,0.45573
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.15,0.46604
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.16,0.48921
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.17,0.49986
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.18,0.5071
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.19,0.52368
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.2,0.54166
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.21,0.54561
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.22,0.55364
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.23,0.57291
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.24,0.5871
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.25,0.60724
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.26,0.62195
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.27,0.6389
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.28,0.65351
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.29,0.67168
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.3,0.68595
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.31,0.69642
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.32,0.70783
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.33,0.72073
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.34,0.73323
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.35,0.74292
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.36,0.74869
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.37,0.75463
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.38,0.7654
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.39,0.77079
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.4,0.77297
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.41,0.77297
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.42,0.77297
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.43,0.77297
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.44,0.77452
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.45,0.77791
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.46,0.79073
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.47,0.79689
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.48,0.80654
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.49,0.82265
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.5,0.82418
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.51,0.82572
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.52,0.82882
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.53,0.83845
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.54,0.83955
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.55,0.84064
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.56,0.84174
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.57,0.84284
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.58,0.84424
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.59,0.84582
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.6,0.84739
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.61,0.85039
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.62,0.85664
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.63,0.86446
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.64,0.87139
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.65,0.87477
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.66,0.88564
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.67,0.89524
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.68,0.89787
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.69,0.89903
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.7,0.9002
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.71,0.90136
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.72,0.90252
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.73,0.90572
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.74,0.91909
