dataset,repeat,model,auroc,auprc,brier,log_loss,calibration_intercept,calibration_slope,prevalence
MIMIC-IV,1,model12h_level_only,0.7114647703865261,0.24422194212993575,0.08144474255154403,0.2910146144815258,0.0029433633915176504,1.0430395927358065,0.09655172413793103
MIMIC-IV,2,model12h_level_only,0.7040470132073186,0.22925448941974796,0.08211685117491102,0.2931105715906072,-0.0054321900832195475,0.9686326675597599,0.09655172413793103
MIMIC-IV,3,model12h_level_only,0.7111201987156186,0.23169002950574522,0.0817216565088829,0.2908446372032767,0.006378151873144873,1.1088547086926572,0.09655172413793103
MIMIC-IV,4,model12h_level_only,0.7088066460680964,0.24196657868332405,0.08158662438125214,0.2917632647393965,0.000999528125040744,1.000344139673369,0.09655172413793103
MIMIC-IV,5,model12h_level_only,0.7031912637828668,0.2166885878300555,0.08315910720943175,0.29834167669720874,-0.0010741632753252014,0.8460470643601251,0.09655172413793103
